"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/11-12-2018/showTime/1840/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Grand, Great World City","GV Grand, Great World City","09/12/2018","7:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6396/showDate/09-12-2018/showTime/1920/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","Duo Deluxe, Paya Lebar","Duo Deluxe, Paya Lebar","09/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/131/filmCode/6414/showDate/09-12-2018/showTime/1130/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV City Square","GV City Square","11/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6396/showDate/11-12-2018/showTime/1845/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","12/12/2018","5:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/12-12-2018/showTime/1730/hallNumber/4"
"Fantastic Beasts: The Crimes Of Grindelwald","GV VivoCity","GV VivoCity","12/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6395/showDate/12-12-2018/showTime/1045/hallNumber/11"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/11-12-2018/showTime/1850/hallNumber/5"
"Aquaman*","GV Bishan","GV Bishan","13/12/2018","10:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/13-12-2018/showTime/2220/hallNumber/2^"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","17/12/2018","8:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77936&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","GV Tampines","GV Tampines","13/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/13-12-2018/showTime/2155/hallNumber/1"
