"Aquaman*","Gold Class Katong","Gold Class Katong","13/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6412/showDate/13-12-2018/showTime/1630/hallNumber/2"
"Creed II","Gemini City Square","Gemini City Square","09/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/114/filmCode/6409/showDate/09-12-2018/showTime/1310/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","12/12/2018","1:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/12-12-2018/showTime/1335/hallNumber/8"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","15/12/2018","11:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/15-12-2018/showTime/2300/hallNumber/3"
"Robin Hood (Digital)","321 Clementi","WE-Clementi","10/12/2018","9:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78304&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","11/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/11-12-2018/showTime/2130/hallNumber/11"
"Aquaman*","GV Bedok","GV Bedok","13/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/13-12-2018/showTime/1235/hallNumber/1"
"Creed II","GV Yishun","GV Yishun","12/12/2018","3:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6409/showDate/12-12-2018/showTime/1555/hallNumber/1"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","12/12/2018","11:25 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78278&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Mortal Engines*","GV Bishan","GV Bishan","10/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6467/showDate/10-12-2018/showTime/1310/hallNumber/1*"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","10/12/2018","12:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/10-12-2018/showTime/1255/hallNumber/2*"
"Spider-Man: Into The Spider-Verse*","Gold Class Katong","Gold Class Katong","11/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6414/showDate/11-12-2018/showTime/1550/hallNumber/1"
"Aquaman*","Gold Class VivoCity","Gold Class VivoCity","13/12/2018","9:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6412/showDate/13-12-2018/showTime/915/hallNumber/1"
"Robin Hood","GV VivoCity","GV VivoCity","10/12/2018","4:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6410/showDate/10-12-2018/showTime/1635/hallNumber/3"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","14/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/14-12-2018/showTime/1040/hallNumber/1"
"Aquaman*","GV Tampines","GV Tampines","15/12/2018","12:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/15-12-2018/showTime/40/hallNumber/2"
"Aquaman*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","13/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6412/showDate/13-12-2018/showTime/1530/hallNumber/3"
"The Grinch","GV Katong","GV Katong","11/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/11-12-2018/showTime/1235/hallNumber/4"
"Aquaman*","GV Katong","GV Katong","15/12/2018","3:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/15-12-2018/showTime/1555/hallNumber/3"
"Aquaman*","GV Bishan","GV Bishan","13/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/13-12-2018/showTime/1610/hallNumber/2^"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Suntec City","GV Suntec City","12/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6396/showDate/12-12-2018/showTime/1615/hallNumber/8"
"Crazy Rich Asians","Gemini Grand, Great World City","Gemini Grand, Great World City","12/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6330/showDate/12-12-2018/showTime/1055/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","12/12/2018","12:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/12-12-2018/showTime/1210/hallNumber/3"
"The Grinch","GV Tampines","GV Tampines","10/12/2018","9:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/10-12-2018/showTime/935/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV City Square","GV City Square","10/12/2018","11:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6414/showDate/10-12-2018/showTime/1120/hallNumber/3"
"Kedarnath*","GV City Square","GV City Square","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/4838/showDate/09-12-2018/showTime/1610/hallNumber/5"
"Bohemian Rhapsody","Gemini City Square","Gemini City Square","10/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/114/filmCode/6391/showDate/10-12-2018/showTime/2115/hallNumber/4"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","11/12/2018","10:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/11-12-2018/showTime/2220/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","12/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/12-12-2018/showTime/1610/hallNumber/8"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","14/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/14-12-2018/showTime/1310/hallNumber/1*"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","12/12/2018","8:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/12-12-2018/showTime/2005/hallNumber/4"
"Intimate Strangers","GV Plaza","GV Plaza","11/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3554/showDate/11-12-2018/showTime/1900/hallNumber/10"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/09-12-2018/showTime/1610/hallNumber/4"
"Mortal Engines*","GV VivoCity","GV VivoCity","09/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/09-12-2018/showTime/1845/hallNumber/2"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","14/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/14-12-2018/showTime/1955/hallNumber/1"
"Robin Hood","GV Yishun","GV Yishun","10/12/2018","11:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/10-12-2018/showTime/1140/hallNumber/2"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","11/12/2018","6:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/11-12-2018/showTime/1820/hallNumber/11"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","10/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/10-12-2018/showTime/1625/hallNumber/2"
"Widows*","Gemini Grand, Great World City","Gemini Grand, Great World City","12/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6411/showDate/12-12-2018/showTime/1615/hallNumber/2"
"The Devil Fish (Digital)","321 Clementi","WE-Clementi","12/12/2018","4:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78248&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","12/12/2018","12:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/12-12-2018/showTime/1255/hallNumber/2*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","12/12/2018","7:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/12-12-2018/showTime/1940/hallNumber/4"
"Creed II*","Gold Class VivoCity","Gold Class VivoCity","12/12/2018","10:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6409/showDate/12-12-2018/showTime/2205/hallNumber/2"
"(Atmos) Aquaman*","GV VivoCity","GV VivoCity","13/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6472/showDate/13-12-2018/showTime/920/hallNumber/1"
"Creed II","GV VivoCity","GV VivoCity","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/12-12-2018/showTime/1900/hallNumber/5"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","15/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/15-12-2018/showTime/1835/hallNumber/2*"
"Robin Hood","GV Plaza","GV Plaza","09/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6410/showDate/09-12-2018/showTime/1900/hallNumber/7"
"The Grinch","GV VivoCity","GV VivoCity","10/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/10-12-2018/showTime/1020/hallNumber/1"
"Mortal Engines*","GV Bishan","GV Bishan","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6413/showDate/12-12-2018/showTime/1850/hallNumber/1^"
"(3d) Aquaman*","GV VivoCity","GV VivoCity","15/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6460/showDate/15-12-2018/showTime/2130/hallNumber/11"
"Mortal Engines*","GV Grand, Great World City","GV Grand, Great World City","10/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6413/showDate/10-12-2018/showTime/1430/hallNumber/6"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","10/12/2018","9:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78366&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Tamil) (3d) 2.0*","GV Jurong Point","GV Jurong Point","09/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/4835/showDate/09-12-2018/showTime/2145/hallNumber/2"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Jurong Point","GV Jurong Point","09/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6395/showDate/09-12-2018/showTime/2145/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV City Square","GV City Square","10/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6414/showDate/10-12-2018/showTime/1630/hallNumber/3"
"(Eng Sub) Spider-Man:Into The Spider-Verse*","GV Plaza","GV Plaza","11/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6468/showDate/11-12-2018/showTime/1445/hallNumber/3"
"Mortal Engines*","GV Yishun","GV Yishun","11/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6413/showDate/11-12-2018/showTime/2200/hallNumber/9"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","12/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/12-12-2018/showTime/1130/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","11/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/11-12-2018/showTime/1330/hallNumber/7"
"The Grinch","GV Tampines","GV Tampines","09/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/09-12-2018/showTime/1630/hallNumber/5"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","9/12/2018","4:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78102&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Creed II*","Gold Class Suntec City","Gold Class Suntec City","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6409/showDate/09-12-2018/showTime/1840/hallNumber/2"
"Widows (Digital)","321 Clementi","WE-Clementi","12/12/2018","9:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78186&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Spider-Man:Into The Spider-Verse*","GV Bishan","GV Bishan","12/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6470/showDate/12-12-2018/showTime/1530/hallNumber/2*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV City Square","GV City Square","10/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6396/showDate/10-12-2018/showTime/1600/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","1:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/11-12-2018/showTime/1335/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","10/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/10-12-2018/showTime/1315/hallNumber/3"
"The Grinch","GV Bishan","GV Bishan","09/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6398/showDate/09-12-2018/showTime/1315/hallNumber/3"
"Mortal Engines*","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6413/showDate/12-12-2018/showTime/1320/hallNumber/1"
"The Wrath*","GV VivoCity","GV VivoCity","10/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3562/showDate/10-12-2018/showTime/1115/hallNumber/12"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/11-12-2018/showTime/1840/hallNumber/5"
"(Tamil) (3d) 2.0*","GV Jurong Point","GV Jurong Point","11/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/4835/showDate/11-12-2018/showTime/2145/hallNumber/2"
"Mortal Engines*","GV Bishan","GV Bishan","11/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6413/showDate/11-12-2018/showTime/1020/hallNumber/1^"
"(Eng Sub)  Mortal Engines*","GV Plaza","GV Plaza","12/12/2018","1:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6464/showDate/12-12-2018/showTime/1335/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","11/12/2018","9:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/11-12-2018/showTime/945/hallNumber/4"
"Widows*","GV Grand, Great World City","GV Grand, Great World City","11/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6411/showDate/11-12-2018/showTime/1325/hallNumber/4"
"Creed II (First Class)","321 Clementi (First Class)","WE-Clementi","12/12/2018","2:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78036&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV Suntec City","GV Suntec City","12/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/12-12-2018/showTime/1910/hallNumber/6"
"Mortal Engines*","GV Yishun","GV Yishun","09/12/2018","8:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6413/showDate/09-12-2018/showTime/2000/hallNumber/9"
"Creed II","GV Bedok","GV Bedok","12/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6409/showDate/12-12-2018/showTime/1350/hallNumber/4"
"(Atmos) Aquaman*","GVmax Dolby Atmos, VivoCity","GVmax Dolby Atmos, VivoCity","15/12/2018","8:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051*/filmCode/6472/showDate/15-12-2018/showTime/2040/hallNumber/1"
"The Grinch","GV Grand, Great World City","GV Grand, Great World City","11/12/2018","11:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6398/showDate/11-12-2018/showTime/1120/hallNumber/5"
"Creed II","GV Jurong Point","GV Jurong Point","10/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6409/showDate/10-12-2018/showTime/1030/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6395/showDate/11-12-2018/showTime/1840/hallNumber/2"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","14/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/14-12-2018/showTime/1600/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","09/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/09-12-2018/showTime/1350/hallNumber/2"
"Mortal Engines*","GV Bedok","GV Bedok","09/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6413/showDate/09-12-2018/showTime/2140/hallNumber/1"
"Widows*","GV Suntec City","GV Suntec City","10/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6411/showDate/10-12-2018/showTime/1615/hallNumber/1"
"Mortal Engines*","GV Katong","GV Katong","11/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6413/showDate/11-12-2018/showTime/1030/hallNumber/3"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","17/12/2018","10:50 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77933&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Robin Hood","GV Yishun","GV Yishun","12/12/2018","11:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/12-12-2018/showTime/1140/hallNumber/2"
"Polis Evo 2 (Digital)","321 Clementi","WE-Clementi","10/12/2018","6:55 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78239&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Creed II","GV Yishun","GV Yishun","09/12/2018","2:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6409/showDate/09-12-2018/showTime/1415/hallNumber/1"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","15/12/2018","11:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/15-12-2018/showTime/1100/hallNumber/6"
"Mortal Engines*","GV Tampines","GV Tampines","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/10-12-2018/showTime/1840/hallNumber/2"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","13/12/2018","11:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/13-12-2018/showTime/2300/hallNumber/3"
"Robin Hood*","Gold Class VivoCity","Gold Class VivoCity","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6410/showDate/09-12-2018/showTime/1840/hallNumber/3"
"The Grinch","GV Katong","GV Katong","09/12/2018","5:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/09-12-2018/showTime/1710/hallNumber/4"
"Aquaman*","GV Tampines","GV Tampines","15/12/2018","6:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/15-12-2018/showTime/1830/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","09/12/2018","8:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/09-12-2018/showTime/2040/hallNumber/1"
"Fantastic Beasts: The Crimes Of Grindelwald","GV City Square","GV City Square","11/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6395/showDate/11-12-2018/showTime/1315/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV VivoCity","GV VivoCity","10/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6395/showDate/10-12-2018/showTime/1310/hallNumber/7"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","13/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/13-12-2018/showTime/1315/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","10/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/10-12-2018/showTime/1330/hallNumber/4"
"The Grinch","GV Katong","GV Katong","11/12/2018","10:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/11-12-2018/showTime/1025/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","10/12/2018","8:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/10-12-2018/showTime/2005/hallNumber/4"
"Widows (Digital)","321 Clementi","WE-Clementi","9/12/2018","1:10 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78168&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV City Square","GV City Square","09/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6396/showDate/09-12-2018/showTime/1040/hallNumber/1"
"Creed II","GV Paya Lebar","GV Paya Lebar","09/12/2018","1:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6409/showDate/09-12-2018/showTime/1345/hallNumber/4"
"Kedarnath*","GV City Square","GV City Square","09/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/4838/showDate/09-12-2018/showTime/2130/hallNumber/5"
"(Atmos) Aquaman*","GVmax, VivoCity","GVmax, VivoCity","13/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6472/showDate/13-12-2018/showTime/1235/hallNumber/1"
"(Atmos) Spider-Man:Into The Spider-Verse*","GV VivoCity","GV VivoCity","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6469/showDate/12-12-2018/showTime/2140/hallNumber/1"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","15/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/15-12-2018/showTime/1530/hallNumber/2*"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","10/12/2018","6:35 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78333&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","Gold Class Suntec City","Gold Class Suntec City","10/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6414/showDate/10-12-2018/showTime/1600/hallNumber/2"
"Kedarnath*","GV Paya Lebar","GV Paya Lebar","11/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/4838/showDate/11-12-2018/showTime/1610/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald","GV City Square","GV City Square","09/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6395/showDate/09-12-2018/showTime/1315/hallNumber/5"
"The Grinch","GV Suntec City","GV Suntec City","10/12/2018","6:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6398/showDate/10-12-2018/showTime/1855/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","10/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/10-12-2018/showTime/1910/hallNumber/6"
"Intimate Strangers","GV VivoCity","GV VivoCity","12/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3554/showDate/12-12-2018/showTime/1020/hallNumber/8"
"Aquaman*","GV Yishun","GV Yishun","13/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6412/showDate/13-12-2018/showTime/930/hallNumber/7"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","10/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/10-12-2018/showTime/2115/hallNumber/2*"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Plaza","GV Plaza","10/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6395/showDate/10-12-2018/showTime/1600/hallNumber/9"
"Mortal Engines*","GV Yishun","GV Yishun","12/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6413/showDate/12-12-2018/showTime/1910/hallNumber/9"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","15/12/2018","2:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77925&args7=78F9C95434406353FDCE1E99790FFDA322645"
